"Node","PRWRH_Score"
"miRNA1",1.27486142760874e-21
"miRNA2",1.27034521552754e-21
"miRNA3",8.98127285792917e-22
"miRNA4",3.35840655952465e-21
"miRNA5",4.06743388466153e-36
"miRNA6",7.32991532170178e-22
"miRNA7",2.15489376519158e-21
"miRNA8",1.57233888772358e-21
"miRNA9",1.52896754027412e-21
"miRNA10",1.44050906711564e-21
"miRNA11",3.54551996217595e-22
"miRNA12",2.47482878546421e-21
"miRNA13",2.81803354429104e-21
"miRNA14",1.13589275157184e-21
"miRNA15",6.92525171232008e-22
"miRNA16",3.08031592847639e-21
"miRNA17",1.73588055109418e-21
"miRNA18",1.9614819705018e-21
"miRNA19",7.04457105597231e-22
"miRNA20",2.25522183640219e-21
"RNA1",0.0193350131190934
"RNA2",0.0134055273288176
"RNA3",0.0157992659481696
"RNA4",0.00717421911157828
"RNA5",0.0150978655907652
"RNA6",0.0183605054489678
"RNA7",0.0164745954900478
"RNA8",0.0140484601352592
"RNA9",0.00891616015718909
"RNA10",0.008781983590763
"RNA11",0.0215214010319571
"RNA12",0.00866538351549201
"RNA13",0.0227574773893488
"RNA14",0.00861033001804673
"RNA15",0.014609906943855
"RNA16",0.0137385011826051
"RNA17",0.00835516048862251
"RNA18",0.0189509451568184
"RNA19",0.0106015162672752
"RNA20",0.00901600035395454
"RNA21",0.0106659975537983
"RNA22",0.0104443208824737
"RNA23",0.0219183108045758
"RNA24",0.0184661795250781
"RNA25",0.0120871717678091
"RNA26",0.00605180328888418
"RNA27",0.00753799725596433
"RNA28",0.0131264760426429
"RNA29",0.0120590024897816
"RNA30",0.0170958349686207
"RNA31",0.0221006454249474
"RNA32",0.0117699269801267
"RNA33",0.0160905212212528
"RNA34",0.0105274796086396
"RNA35",0.0203835987137693
"RNA36",0.00148031920103303
"RNA37",0.00704835419145995
"RNA38",0.00106520952113853
"RNA39",0.00612536215590816
"RNA40",0.00193168288543483
"RNA41",0.00194545537546008
"RNA42",0.00474385804455097
"RNA43",0.00267113279103384
"RNA44",0.00227440170297318
"RNA45",0.00122729142751724
"Protein1",0.0199961362924222
"Protein2",0.0139748230448893
"Protein3",0.0182847399653262
"Protein4",0.00624174104219516
"Protein5",0.0145051635387484
"Protein6",0.0165312092220109
"Protein7",0.0198563062619881
"Protein8",0.0152906974880963
"Protein9",0.0106531901265308
"Protein10",0.0100903987614077
"Protein11",0.0204590474378321
"Protein12",0.00911185921206237
"Protein13",0.0246933889433959
"Protein14",0.0074216642386404
"Protein15",0.0160917744462508
"Protein16",0.0123899385853096
"Protein17",0.00714370789713144
"Protein18",0.01482323596081
"Protein19",0.0100826931028238
"Protein20",0.0120260827495375
"Protein21",0.0115723257377514
"Protein22",0.00960139408439721
"Protein23",0.0221377506954962
"Protein24",0.0183538630289234
"Protein25",0.0122865548440867
"Protein26",0.00490544712715349
"Protein27",0.00892235958195814
"Protein28",0.0123738717541469
"Protein29",0.0117356761271408
"Protein30",0.0170788059171918
"Protein31",0.0199404490936976
"Protein32",0.0107205910628368
"Protein33",0.0150331991064156
"Protein34",0.0125951443494113
"Protein35",0.0176202297500775
